src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.2.10,192.168.2.1,48961,53,2048,1970-01-01 09:07:47,844.0,440758.29383886256,4739.336492890995,4739.336492890995,0.0,4,0,372,0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,93,93,93.0,0.0,0.0,32,0,8,4,281.3333333333333,737.0,42.0,322.3417785863667,844.0,737.0,42.0,281.3333333333333,322.3417785863666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,93.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,4.0,0.0,0.0,232227.4881516588,0.0,93.0,0.0,0,4,0,372,0
192.168.2.1,192.168.2.10,44965,39868,2048,1970-01-01 09:07:48,147.0,4612244.897959184,13605.442176870747,13605.442176870747,0.0,2,0,678,0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0,339,339,339.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,339.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,0.0,0,2,0,678,0
192.168.2.10,192.168.2.1,45942,53,2048,1970-01-01 09:07:48,576.0,631944.4444444444,6944.444444444444,6944.444444444444,0.0,4,0,364,0,91.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,91,91,91.0,0.0,0.0,32,0,8,4,192.0,469.0,41.0,196.1343077247493,576.0,469.0,41.0,192.0,196.1343077247493,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,91.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,4.0,0.0,0.0,326388.88888888893,0.0,91.0,0.0,0,4,0,364,0
192.168.2.10,192.168.2.1,46456,53,2048,1970-01-01 09:07:48,350.0,777142.8571428572,11428.571428571431,5714.285714285716,5714.285714285716,2,2,160,112,80.0,80.0,80.0,0.0,56.0,56.0,56.0,0.0,80,56,68.0,12.0,144.0,40,40,20,0,116.66666666666669,239.0,42.0,87.20219161364133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,68.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,0,2,2,160,112
192.168.2.10,192.168.2.1,46458,53,2048,1970-01-01 09:07:48,320.0,849999.9999999999,12499.999999999998,6249.999999999999,6249.999999999999,2,2,160,112,80.0,80.0,80.0,0.0,56.0,56.0,56.0,0.0,80,56,68.0,12.0,144.0,40,40,20,0,106.66666666666669,201.0,59.0,66.7049889854991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,68.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,0,2,2,160,112
192.168.2.10,192.168.2.255,59242,32412,2048,1970-01-01 09:07:49,80009350.0,82.05291006613602,1.2623524625559388,1.2623524625559388,0.0,101,0,6565,0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,65,65,65.0,0.0,0.0,808,0,8,101,800093.5,5000651.0,34.0,1833105.94776437,80009350.0,5000651.0,34.0,800093.5,1833105.94776437,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,65.0,0,0,5000581.0,35.0,4666906.6,1247273.9139221879,5000616.0,4999607.0,5000211.666666667,258.5675067667157,144.0,6.857142857142858,0.0,0.0,420087.51823296526,0.0,65.0,0.0,0,101,0,6565,0
192.168.2.10,192.168.2.255,56788,32414,2048,1970-01-01 09:07:49,80009270.0,95.05148590907028,1.4623305524472352,1.4623305524472352,0.0,117,0,7605,0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,65,65,65.0,0.0,0.0,936,0,8,117,689735.0862068966,5000619.0,35.0,1724179.0427132046,80009270.0,5000619.0,35.0,689735.0862068966,1724179.0427132053,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,65.0,0,0,5000420.0,35.0,4687609.625,1210326.5796886638,5000583.0,4999592.0,5000143.9375,226.1007708826973,144.52941176470586,6.882352941176472,0.0,0.0,387112.0214274461,0.0,65.0,0.0,0,117,0,7605,0
192.168.2.10,192.168.2.1,46460,53,2048,1970-01-01 09:07:51,372.0,731182.7956989248,10752.688172043012,5376.344086021506,5376.344086021506,2,2,160,112,80.0,80.0,80.0,0.0,56.0,56.0,56.0,0.0,80,56,68.0,12.0,144.0,40,40,20,0,124.0,234.0,63.0,77.93587107359485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,68.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,0,2,2,160,112
192.168.2.10,192.168.2.1,46462,53,2048,1970-01-01 09:07:51,268.0,1014925.3731343284,14925.373134328356,7462.686567164178,7462.686567164178,2,2,160,112,80.0,80.0,80.0,0.0,56.0,56.0,56.0,0.0,80,56,68.0,12.0,144.0,40,40,20,0,89.33333333333331,172.0,43.0,58.59654900722018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,68.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,0,2,2,160,112
192.168.2.10,192.168.2.1,46464,53,2048,1970-01-01 09:07:51,350.0,777142.8571428572,11428.571428571431,5714.285714285716,5714.285714285716,2,2,160,112,80.0,80.0,80.0,0.0,56.0,56.0,56.0,0.0,80,56,68.0,12.0,144.0,40,40,20,0,116.66666666666669,207.0,41.0,68.55816670698118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,68.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,0,2,2,160,112
192.168.2.10,192.168.2.1,46466,53,2048,1970-01-01 09:07:51,264.0,1030303.0303030305,15151.515151515148,7575.757575757574,7575.757575757574,2,2,160,112,80.0,80.0,80.0,0.0,56.0,56.0,56.0,0.0,80,56,68.0,12.0,144.0,40,40,20,0,88.0,175.0,34.0,62.112800613078136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,68.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,0,2,2,160,112
192.168.2.10,192.168.2.1,46468,53,2048,1970-01-01 09:07:51,264.0,1030303.0303030305,15151.515151515148,7575.757575757574,7575.757575757574,2,2,160,112,80.0,80.0,80.0,0.0,56.0,56.0,56.0,0.0,80,56,68.0,12.0,144.0,40,40,20,0,88.0,166.0,45.0,55.25094267672422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,68.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,0,2,2,160,112
192.168.2.10,192.168.2.1,46470,53,2048,1970-01-01 09:07:51,270.0,1007407.4074074073,14814.814814814814,7407.407407407407,7407.407407407407,2,2,160,112,80.0,80.0,80.0,0.0,56.0,56.0,56.0,0.0,80,56,68.0,12.0,144.0,40,40,20,0,90.0,169.0,47.0,55.93448548674303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,68.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,0,2,2,160,112
192.168.2.10,192.168.2.1,46472,53,2048,1970-01-01 09:07:51,261.0,1042145.5938697319,15325.670498084291,7662.835249042146,7662.835249042146,2,2,160,112,80.0,80.0,80.0,0.0,56.0,56.0,56.0,0.0,80,56,68.0,12.0,144.0,40,40,20,0,87.0,166.0,40.0,56.19608527290847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,68.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,0,2,2,160,112
192.168.2.10,192.168.2.1,46474,53,2048,1970-01-01 09:07:51,251.0,1083665.3386454184,15936.254980079682,7968.127490039841,7968.127490039841,2,2,160,112,80.0,80.0,80.0,0.0,56.0,56.0,56.0,0.0,80,56,68.0,12.0,144.0,40,40,20,0,83.66666666666667,157.0,42.0,52.01495511442411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,68.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,0,2,2,160,112
192.168.2.10,192.168.2.1,46476,53,2048,1970-01-01 09:07:51,261.0,1042145.5938697319,15325.670498084291,7662.835249042146,7662.835249042146,2,2,160,112,80.0,80.0,80.0,0.0,56.0,56.0,56.0,0.0,80,56,68.0,12.0,144.0,40,40,20,0,87.0,168.0,39.0,57.60208329565867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,68.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,0,2,2,160,112
192.168.2.10,192.168.2.1,46478,53,2048,1970-01-01 09:07:51,246.00000000000003,1105691.056910569,16260.162601626012,8130.081300813006,8130.081300813006,2,2,160,112,80.0,80.0,80.0,0.0,56.0,56.0,56.0,0.0,80,56,68.0,12.0,144.0,40,40,20,0,82.0,163.0,38.0,57.346897620243304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,68.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,0,2,2,160,112
192.168.2.10,192.168.2.1,46480,53,2048,1970-01-01 09:07:51,232.0,1172413.7931034483,17241.379310344826,8620.689655172413,8620.689655172413,2,2,160,112,80.0,80.0,80.0,0.0,56.0,56.0,56.0,0.0,80,56,68.0,12.0,144.0,40,40,20,0,77.33333333333333,165.0,28.0,62.15214307559224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,68.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,0,2,2,160,112
192.168.2.10,192.168.2.1,46482,53,2048,1970-01-01 09:07:51,263.0,1034220.5323193916,15209.125475285171,7604.5627376425855,7604.5627376425855,2,2,160,112,80.0,80.0,80.0,0.0,56.0,56.0,56.0,0.0,80,56,68.0,12.0,144.0,40,40,20,0,87.66666666666669,163.0,49.0,53.27496806401879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,68.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,0,2,2,160,112
192.168.2.10,192.168.2.1,46484,53,2048,1970-01-01 09:07:51,257.0,1058365.758754864,15564.202334630349,7782.101167315174,7782.101167315174,2,2,160,112,80.0,80.0,80.0,0.0,56.0,56.0,56.0,0.0,80,56,68.0,12.0,144.0,40,40,20,0,85.66666666666667,163.0,41.0,54.901932773102104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,68.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,0,2,2,160,112
192.168.2.10,192.168.2.1,33794,53,2048,1970-01-01 09:07:51,38.0,4210526.315789473,52631.57894736842,52631.57894736842,0.0,2,0,160,0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,80,80,80.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,80.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0,2,0,160,0
192.168.2.1,239.255.255.250,35140,1900,2048,1970-01-01 09:07:53,248688.0,30681.013961268734,84.44315769156533,84.44315769156533,0.0,21,0,7630,0,395.0,343.0,363.33333333333326,22.691163233490013,0.0,0.0,0.0,0.0,395,343,363.33333333333326,22.691163233490013,514.8888888888888,168,0,8,21,12434.4,129012.0,109.0,36934.77598605412,248688.0,129012.0,109.0,12434.4,36934.77598605412,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,363.33333333333326,0,0,117069.0,109.0,58589.0,58480.0,128900.0,117072.0,122986.0,5914.0,6706.0,21.0,0.0,0.0,26965.515022839863,0.0,363.33333333333326,0.0,0,21,0,7630,0
192.168.2.1,239.255.255.250,47472,1900,2048,1970-01-01 09:07:53,831.0,3445246.690734056,8423.586040914559,8423.586040914559,0.0,7,0,2863,0,409.0,409.0,409.0,0.0,0.0,0.0,0.0,0.0,409,409,409.0,0.0,0.0,56,0,8,7,138.5,172.0,106.0,24.628912548736967,831.0,172.0,106.0,138.5,24.628912548736967,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,409.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2555.0,7.0,0.0,0.0,3074608.904933815,0.0,409.0,0.0,0,7,0,2863,0
192.168.2.1,239.255.255.250,60914,1900,2048,1970-01-01 09:07:53,841.0,3387633.769322236,8323.424494649227,8323.424494649227,0.0,7,0,2849,0,407.0,407.0,407.0,0.0,0.0,0.0,0.0,0.0,407,407,407.0,0.0,0.0,56,0,8,7,140.16666666666666,165.0,110.0,18.791990019390944,841.0,165.0,110.0,140.16666666666666,18.791990019390944,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,407.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2541.0,7.0,0.0,0.0,3021403.0915576695,0.0,407.0,0.0,0,7,0,2849,0
192.168.2.1,239.255.255.250,41956,1900,2048,1970-01-01 09:07:53,836.0,3541866.028708134,8373.205741626794,8373.205741626794,0.0,7,0,2961,0,423.0,423.0,423.0,0.0,0.0,0.0,0.0,0.0,423,423,423.0,0.0,0.0,56,0,8,7,139.33333333333334,172.0,104.0,24.31506163311585,836.0,172.0,104.0,139.33333333333334,24.31506163311585,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,423.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2653.0,7.0,0.0,0.0,3173444.976076555,0.0,423.0,0.0,0,7,0,2961,0
192.168.2.1,239.255.255.250,42948,1900,2048,1970-01-01 09:07:53,248928.0,30651.433346188456,84.36174315464712,84.36174315464712,0.0,21,0,7630,0,395.0,343.0,363.33333333333326,22.691163233490013,0.0,0.0,0.0,0.0,395,343,363.33333333333326,22.691163233490013,514.8888888888888,168,0,8,21,12446.4,127561.0,104.0,36948.28171295656,248928.0,127561.0,104.0,12446.4,36948.28171295657,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,363.33333333333326,0,0,118764.0,112.0,59438.0,59326.0,127457.0,118756.0,123106.5,4350.5,6706.0,21.0,0.0,0.0,26939.516647383978,0.0,363.33333333333326,0.0,0,21,0,7630,0
192.168.2.1,239.255.255.250,48758,1900,2048,1970-01-01 09:07:54,840.0,3408333.333333333,8333.333333333332,8333.333333333332,0.0,7,0,2863,0,409.0,409.0,409.0,0.0,0.0,0.0,0.0,0.0,409,409,409.0,0.0,0.0,56,0,8,7,140.0,173.0,115.0,22.992752481307377,840.0,173.0,115.0,140.0,22.992752481307374,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,409.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2555.0,7.0,0.0,0.0,3041666.666666666,0.0,409.0,0.0,0,7,0,2863,0
192.168.2.1,239.255.255.250,49750,1900,2048,1970-01-01 09:07:54,856.0,3328271.028037383,8177.5700934579445,8177.5700934579445,0.0,7,0,2849,0,407.0,407.0,407.0,0.0,0.0,0.0,0.0,0.0,407,407,407.0,0.0,0.0,56,0,8,7,142.66666666666666,174.0,113.0,23.041026211713945,856.0,174.0,113.0,142.66666666666666,23.041026211713945,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,407.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2541.0,7.0,0.0,0.0,2968457.9439252336,0.0,407.0,0.0,0,7,0,2849,0
