src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.2.10,192.168.2.1,46709,53,2048,1970-01-01 09:09:17,73.0,2191780.821917808,27397.260273972603,27397.260273972603,0.0,2,0,160,0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,80,80,80.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,80.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0,2,0,160,0
192.168.2.10,192.168.2.1,48232,53,2048,1970-01-01 09:09:17,25.0,6400000.0,80000.0,80000.0,0.0,2,0,160,0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,80,80,80.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,80.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0,2,0,160,0
192.168.2.10,192.168.2.1,53198,53,2048,1970-01-01 09:09:17,49.0,3265306.12244898,40816.32653061225,40816.32653061225,0.0,2,0,160,0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,80,80,80.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,80.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0,2,0,160,0
192.168.2.10,192.168.2.1,48002,53,2048,1970-01-01 09:09:18,57.0,3052631.578947368,35087.71929824561,35087.71929824561,0.0,2,0,174,0,87.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,87,87,87.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,87.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0,2,0,174,0
192.168.2.10,192.168.2.1,59546,53,2048,1970-01-01 09:09:18,24.0,8250000.0,83333.33333333331,83333.33333333331,0.0,2,0,198,0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,99,99,99.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,99.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0,2,0,198,0
192.168.2.10,239.255.255.250,39868,1900,2048,1970-01-01 09:09:19,81012265.0,100.23173651545231,0.6912533552789816,0.6912533552789816,0.0,56,0,8120,0,145.0,145.0,145.0,0.0,0.0,0.0,0.0,0.0,145,145,145.0,0.0,0.0,448,0,8,56,1472950.2727272727,15988919.0,36.0,3958675.93948256,81012265.0,15988919.0,36.0,1472950.2727272727,3958675.93948256,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,145.0,0,0,15018449.0,40.0,9288598.714285716,4168613.823501309,15988879.0,10000249.0,11572718.57142857,2499639.307130294,707.0,7.0,0.0,0.0,1908232.1187584347,0.0,145.0,0.0,0,56,0,8120,0
192.168.2.10,192.168.2.255,56788,32414,2048,1970-01-01 09:09:19,85012105.0,88.69325139049316,1.3645115598537407,1.3645115598537407,0.0,116,0,7540,0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,65,65,65.0,0.0,0.0,928,0,8,116,739235.6956521741,10000462.0,33.0,1893292.8826258609,85012105.0,10000462.0,33.0,739235.6956521741,1893292.8826258609,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,65.0,0,0,10000428.0,36.0,5000294.5,1767836.2886488175,10000424.0,4999697.0,5312857.5,1210324.5368532876,143.2941176470588,6.8235294117647065,0.0,0.0,423431.25325916905,0.0,65.0,0.0,0,116,0,7540,0
192.168.2.10,192.168.2.255,59242,32412,2048,1970-01-01 09:09:19,85010959.0,81.04837401022614,1.2468980616957868,1.2468980616957868,0.0,106,0,6890,0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,65,65,65.0,0.0,0.0,848,0,8,106,809628.180952381,10001272.0,33.0,2084521.2934943016,85010959.0,10001272.0,33.0,809628.180952381,2084521.2934943016,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,65.0,0,0,10000908.0,37.0,5000243.0,1825900.915918349,10001233.0,4999631.0,5666989.533333332,1699966.2573609264,139.125,6.625,0.0,0.0,401297.9989183343,0.0,65.0,0.0,0,106,0,6890,0
192.168.2.1,192.168.2.10,57142,39868,2048,1970-01-01 09:09:20,147.0,4612244.897959184,13605.442176870747,13605.442176870747,0.0,2,0,678,0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0,339,339,339.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,339.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,0.0,0,2,0,678,0
192.168.2.10,192.168.2.1,46472,53,2048,1970-01-01 09:09:20,64.0,2906250.0,31250.0,31250.0,0.0,2,0,186,0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,93,93,93.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,93.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0,2,0,186,0
