src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
157.240.211.1,192.168.1.49,443,58952,2048,2021-04-20 08:44:18,590726.0,52816.364947539136,297.9384689348361,165.8975565659883,132.04091236884784,98,78,22486,8714,1448.0,62.0,229.44897959183675,402.9551077049271,598.0,56.0,111.71794871794872,100.36777210760197,1448,56,177.27272727272728,313.5235501982676,98297.0165289256,1960,1560,20,98,3375.577142857143,67803.0,5.0,9653.065917316062,590726.0,90931.0,7.0,6089.958762886598,15941.909692947496,517202.0,85184.0,7.0,6716.909090909091,17297.57384622946,0,0,0,0,1,0,0,0,0,0,0,0.7959183673469388,177.27272727272728,330,511,67783.0,38.0,22413.304347826088,16813.472652801465,67776.0,5532.0,22824.08695652174,16368.027925390144,3358.8,19.2,1296.6666666666667,14.0,50050.06794935984,114499.32301171483,229.44897959183675,111.71794871794872,0,98,78,22486,8714
192.168.1.234,192.168.1.62,22,57299,2048,2021-04-20 08:44:18,590560.0,3474.6681116228665,37.25277702519642,20.31969655919805,16.933080465998376,12,10,1236,816,116.0,62.0,103.0,19.24404669848141,124.0,56.0,81.6,31.45536520214,124,56,93.27272727272728,27.663861917641707,765.2892561983471,240,200,20,12,28121.904761904763,265724.0,17.0,65414.62171549573,546083.0,309034.0,17.0,49643.90909090909,103908.43517990822,536726.0,271249.0,19.0,59636.22222222222,92221.51042134943,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,93.27272727272728,501,508,265704.0,27.0,77745.71428571429,94230.79400025432,265703.0,5485.0,84089.14285714286,90192.30123215074,222.0,5.0,0.0,0.0,831.3921699335635,0.0,103.0,81.6,0,12,10,1236,816
209.58.181.171,192.168.1.62,80,57064,2048,2021-04-20 08:44:18,56266.0,5864.998400454982,71.09088970248463,35.54544485124232,35.54544485124232,2,2,218,112,109.0,109.0,109.0,0.0,56.0,56.0,56.0,0.0,109,56,82.5,26.5,702.25,40,40,20,2,18755.33333333333,56219.0,23.0,26490.812751258167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,82.5,501,511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,56.0,0,2,2,218,112
50.7.252.138,192.168.1.45,9993,9993,2048,2021-04-20 08:44:18,23.0,58521739.13043478,86956.52173913043,86956.52173913043,0.0,2,0,1346,0,673.0,673.0,673.0,0.0,0.0,0.0,0.0,0.0,673,673,673.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,673.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.0,0.0,0,2,0,1346,0
192.168.1.49,157.240.211.35,52572,443,2048,2021-04-20 08:44:18,543216.0,84566.72852051485,139.90751376984477,62.590203528614765,77.31731024123,34,42,14138,31800,1390.0,78.0,415.8235294117647,525.7332398149911,1276.0,69.0,757.1428571428571,555.9183124057232,1390,69,604.4473684210526,568.5426289330708,323240.7209141274,272,336,8,34,7242.88,108785.0,7.0,19159.96839938939,543216.0,124286.0,7.0,16461.090909090908,32429.8561975186,412491.0,112739.0,11.0,10060.756097560976,23758.794924868875,0,0,0,0,1,0,0,0,0,0,0,1.2352941176470589,604.4473684210526,0,0,87106.0,20.0,31781.07692307692,22254.288535580105,108769.0,7323.0,40146.07692307692,28347.02287844362,1873.0,6.5,5968.8,7.6,79856.74390841843,177094.7068597199,415.8235294117647,757.1428571428571,0,34,42,14138,31800
35.235.97.247,192.168.1.45,41946,9993,2048,2021-04-20 08:44:18,20.0,71500000.0,100000.0,100000.0,0.0,2,0,1430,0,715.0,715.0,715.0,0.0,0.0,0.0,0.0,0.0,715,715,715.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,715.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,0.0,0,2,0,1430,0
192.168.1.49,35.174.169.97,58923,443,2048,2021-04-20 08:44:18,227586.0,29281.238740520064,43.93943388433383,17.575773553733534,26.3636603306003,4,6,428,6236,158.0,56.0,107.0,51.0,1516.0,94.0,1039.3333333333333,668.4595890719365,1516,56,666.4,691.203472213501,477762.2400000001,80,120,20,2,25287.33333333333,226353.0,15.0,71088.1981547492,227586.0,227549.0,18.0,75862.0,107258.90631862076,126.0,52.0,15.0,25.2,13.614697940094006,0,0,0,0,1,0,0,0,0,0,0,1.5,666.4,513,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5900.0,6.0,0.0,46825396.82539683,107.0,1039.3333333333333,0,4,6,428,6236
50.7.73.34,192.168.1.45,9993,9993,2048,2021-04-20 08:44:18,24.0,56083333.33333333,83333.33333333333,83333.33333333333,0.0,2,0,1346,0,673.0,673.0,673.0,0.0,0.0,0.0,0.0,0.0,673,673,673.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,673.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.0,0.0,0,2,0,1346,0
195.181.173.159,192.168.1.45,9993,28974,2048,2021-04-20 08:44:18,24.0,56083333.33333333,83333.33333333333,83333.33333333333,0.0,2,0,1346,0,673.0,673.0,673.0,0.0,0.0,0.0,0.0,0.0,673,673,673.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,673.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.0,0.0,0,2,0,1346,0
103.195.103.66,192.168.1.45,9993,28974,2048,2021-04-20 08:44:18,17.0,79176470.58823529,117647.0588235294,117647.0588235294,0.0,2,0,1346,0,673.0,673.0,673.0,0.0,0.0,0.0,0.0,0.0,673,673,673.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,673.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.0,0.0,0,2,0,1346,0
